Configuración;Modelo Base;Modelo LLM;Peso LLM;Threshold;Precision (%);Recall (%);F1-Score (%)
Híbrido (30% Keyword Matching + 70% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,70;0,50;84,84;65,37;73,84
Solo LLM (gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;1,00;0,50;65,83;83,59;73,65
Híbrido (40% Keyword Matching + 60% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,60;0,30;65,75;83,59;73,61
Híbrido (50% BERT (TF-IDF+BERT) + 50% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,50;0,30;61,48;91,24;73,46
Híbrido (30% BERT (TF-IDF+BERT) + 70% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,70;0,60;85,06;64,12;73,12
Híbrido (40% BM25 + 60% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,60;0,50;87,94;61,89;72,65
Híbrido (60% BERT (TF-IDF+BERT) + 40% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,40;0,30;59,66;91,93;72,36
Híbrido (30% BERT (TF-IDF+BERT) + 70% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,70;0,60;83,85;63,56;72,31
Híbrido (40% BM25 + 60% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,60;0,50;89,09;60,22;71,87
Solo LLM (gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;1,00;0,30;58,87;91,38;71,61
Híbrido (70% BM25 + 30% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,30;0,30;84,36;60,78;70,65
Solo LLM (gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;1,00;0,40;58,94;88,04;70,61
Híbrido (70% BM25 + 30% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,30;0,30;83,56;60,78;70,37
Híbrido (60% BERT (TF-IDF+BERT) + 40% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,40;0,50;82,52;61,06;70,18
Híbrido (70% BERT (TF-IDF+BERT) + 30% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,30;0,30;56,23;92,91;70,06
Híbrido (30% BERT (TF-IDF+BERT) + 70% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,70;0,30;56,63;90,82;69,76
Híbrido (30% BM25 + 70% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,70;0,60;91,24;56,47;69,76
Híbrido (40% BERT (TF-IDF+BERT) + 60% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,60;0,30;55,86;90,82;69,17
Híbrido (50% BERT (TF-IDF+BERT) + 50% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,50;0,30;55,47;90,96;68,91
Híbrido (60% BERT (TF-IDF+BERT) + 40% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,40;0,30;54,95;91,79;68,75
Híbrido (60% BERT (TF-IDF+BERT) + 40% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,40;0,50;80,91;59,53;68,59
Solo LLM (gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;1,00;0,30;53,24;91,52;67,31
Híbrido (70% BERT (TF-IDF+BERT) + 30% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,30;0,30;52,45;92,21;66,87
Híbrido (60% BM25 + 40% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,40;0,40;86,00;54,66;66,84
Híbrido (60% BM25 + 40% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,40;0,40;85,65;54,80;66,84
Híbrido (40% BERT (TF-IDF+BERT) + 60% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,60;0,60;87,76;53,82;66,72
Híbrido (50% Keyword Matching + 50% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,50;0,40;87,93;53,69;66,67
Híbrido (30% BM25 + 70% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,70;0,60;90,34;52,02;66,02
Híbrido (40% BERT (TF-IDF+BERT) + 60% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,60;0,60;85,46;53,13;65,52
Híbrido (50% Keyword Matching + 50% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,50;0,40;84,56;52,57;64,84
Híbrido (50% BM25 + 50% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,50;0,50;88,83;50,90;64,72
Híbrido (70% BM25 + 30% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,30;0,40;86,49;50,76;63,98
Híbrido (50% BM25 + 50% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,50;0,50;89,72;48,54;63,00
Híbrido (70% BM25 + 30% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,30;0,40;86,49;48,96;62,52
Híbrido (60% BM25 + 40% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,40;0,50;89,82;47,84;62,43
Híbrido (60% BM25 + 40% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,40;0,50;89,57;46,59;61,30
Solo BM25;BM25;gemma3_27b-it-q4_K_M;0,00;0,40;87,37;47,15;61,25
Híbrido (70% BM25 + 30% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,30;0,50;89,28;46,31;60,99
